datetime,open,high,low,close,volume
2024-09-15,,,,,0.0
2024-09-16,222.2,222.2,213.92,216.249,53385932.0
2024-09-17,216.37,216.99,214.5,216.9,38534863.0
2024-09-18,216.2,222.71,215.5,222.25,52463192.0
2024-09-19,222.79,229.82,222.79,228.546,54632510.0
2024-09-20,228.15,233.09,227.11,227.76,162660328.0
2024-09-21,,,,,0.0
2024-09-22,,,,,0.0
2024-09-23,228.4,229.45,225.81,226.23,40201474.0
2024-09-24,226.97,229.35,225.73,227.5128,32252960.0
2024-09-25,226.98,227.31,224.02,226.15,31365584.0
2024-09-26,227.12,228.5,225.41,228.066,28176173.0
2024-09-27,226.4,229.52,226.11,227.4982,24979105.0
2024-09-28,,,,,0.0
2024-09-29,,,,,0.0
2024-09-30,227.33,233.25,226.84,233.15,40753802.0
2024-10-01,233.33,233.56,223.74,225.72,50693365.0
2024-10-02,225.6,227.38,223.02,226.9715,27948024.0
2024-10-03,226.2,226.805,223.32,226.07,28045606.0
2024-10-04,226.08,228.0,224.13,226.3745,30668417.0
2024-10-05,,,,,0.0
2024-10-06,,,,,0.0
2024-10-07,224.88,226.233,221.22,221.8,30719623.0
2024-10-08,222.1,225.98,221.136,225.2212,25916209.0
2024-10-09,225.12,229.75,224.45,229.3961,26655881.0
2024-10-10,229.4,229.5,227.17,229.36,21329179.0
2024-10-11,228.5,229.55,227.2,227.4,25023487.0
2024-10-12,,,,,0.0
2024-10-13,,,,,0.0
2024-10-14,228.0,231.73,227.12,231.3,28410991.0
2024-10-15,231.34,237.49,230.3,234.1,54283363.0
2024-10-16,234.34,234.44,229.84,231.3605,28477579.0
2024-10-17,232.0,234.19,230.52,232.16,24582193.0
2024-10-18,233.3,237.23,231.57,234.89,38828592.0
2024-10-19,,,,,0.0
2024-10-20,,,,,0.0
2024-10-21,234.8,236.85,233.3,236.57,28759611.0
2024-10-22,235.61,236.22,232.6,235.6,28623978.0
2024-10-23,235.39,235.7,227.76,230.4178,45153845.0
2024-10-24,230.66,231.61,228.41,229.51,23932376.0
2024-10-25,229.13,233.22,227.3,230.86,27375807.0
2024-10-26,,,,,0.0
2024-10-27,,,,,0.0
2024-10-28,232.91,234.73,230.832,232.5,26495008.0
2024-10-29,232.7,234.325,231.6,232.93,26893459.0
2024-10-30,233.03,233.4,229.52,230.7,35119304.0
2024-10-31,230.13,230.92,220.0,221.71,46554585.0
2024-11-01,222.27,225.91,220.27,222.68,55013429.0
2024-11-02,,,,,0.0
2024-11-03,,,,,0.0
2024-11-04,221.51,222.79,219.71,221.7,33276510.0
2024-11-05,221.63,223.95,220.4,222.96,22797071.0
2024-11-06,222.98,228.78,221.19,222.65,43200805.0
2024-11-07,222.65,227.95,222.4,227.4801,32262590.0
2024-11-08,227.52,228.66,226.405,226.96,30377955.0
2024-11-09,226.96,226.98,226.8808,226.96,6757.0
2024-11-10,,,,,0.0
2024-11-11,227.21,227.69,221.5,224.11,34889036.0
2024-11-12,224.0001,225.59,223.01,224.2,31630241.0
2024-11-13,224.19,226.65,222.76,224.9699,33994706.0
2024-11-14,224.9,228.87,224.18,227.5,34038967.0
2024-11-15,227.47,228.22,224.27,225.03,35546906.0
2024-11-16,225.04,225.26,225.03,225.26,9151.0
2024-11-17,,,,,0.0
2024-11-18,226.0,229.74,224.438,227.85,29733494.0
2024-11-19,227.85,230.16,225.38,228.0,27076395.0
2024-11-20,228.1,229.93,225.89,228.71,27034711.0
2024-11-21,228.67,230.155,225.7103,228.2301,32313503.0
2024-11-22,228.25,230.7199,228.02,229.9899,29664561.0
2024-11-23,229.91,229.98,229.89,229.95,3520.0
2024-11-24,,,,,0.0
2024-11-25,229.88,233.245,229.296,231.3,40363724.0
2024-11-26,231.3,235.64,231.01,235.4617,37626475.0
2024-11-27,235.5935,235.72,233.26,235.15,23438408.0
2024-11-28,235.13,235.25,235.0608,235.2,8430.0
2024-11-29,235.37,237.81,233.97,237.4897,24115700.0
2024-11-30,,,,,0.0
2024-12-01,,,,,0.0
2024-12-02,237.1,240.79,236.0,239.75,33909459.0
2024-12-03,239.72,243.0,238.9,242.8007,29873288.0
2024-12-04,242.8166,244.11,241.25,242.92,31673117.0
2024-12-05,242.91,244.54,242.1,242.95,29700551.0
2024-12-06,242.92,244.63,242.08,242.41,27286128.0
2024-12-07,242.4,242.4055,242.3025,242.3025,8662.0
2024-12-08,,,,,0.0
2024-12-09,242.69,247.2887,241.57,247.0345,33182861.0
2024-12-10,247.02,248.21,245.34,247.77,28943256.0
2024-12-11,247.77,250.8,246.02,246.42,33436637.0
2024-12-12,246.5648,248.74,245.68,246.8552,25723793.0
2024-12-13,246.7801,249.5681,246.24,247.8,25318036.0
2024-12-14,247.77,248.13,247.76,248.0,15510.0
2024-12-15,,,,,0.0
2024-12-16,248.23,251.38,247.23,250.87,29988013.0
2024-12-17,250.81,253.83,249.65,253.1,32871891.0
2024-12-18,253.22,254.28,246.0,246.77,41131913.0
2024-12-19,246.89,252.0,246.47,249.3501,38538652.0
2024-12-20,249.45,255.57,245.69,255.31,78835068.0
2024-12-21,255.31,255.53,254.49,255.35,63230.0
2024-12-22,,,,,0.0
2024-12-23,255.55,256.76,253.45,254.7685,31176381.0
2024-12-24,254.77,258.21,254.58,258.1,20041456.0
2024-12-25,,,,,0.0
2024-12-26,258.06,260.1,257.13,259.12,22224557.0
2024-12-27,259.12,259.59,253.06,254.77,31835997.0
2024-12-28,254.83,254.9783,254.77,254.77,14673.0
2024-12-29,,,,,0.0
2024-12-30,255.02,255.24,250.75,251.8679,27139716.0
2024-12-31,251.865,253.48,249.43,250.4219,26911188.0
2025-01-01,250.4216,250.45,250.41,250.41,7042.0
2025-01-02,251.36,251.9,241.8201,243.24,47957671.0
2025-01-03,243.24,244.66,241.89,243.22,33866881.0
2025-01-04,243.21,243.3908,243.1,243.3908,23210.0
2025-01-05,,,,,0.0
2025-01-06,243.89,247.33,243.2,244.7006,33345412.0
2025-01-07,244.72,245.55,241.35,242.15,31969325.0
